name,zip,price,quantity,price_norm,rating,comments
Gazab,10002,6,2,$3.00 ,4.5,
Maharaja Sweets & Snacks,11372,3,2,1.5,3.5,
Shaheen Sweets,11423,9,7,1.28,4.5,
GupShup,10003,8,3,2.67,4,
Bengal Tiger Indian Food,10019,5,2,2.5,4.5,
Omar's Fine Cuisine,11238,4.99,2,2.49,5,
Ananda,10012,6.99,2,3.49,4,
Clove Indian Restaurant & Bar,10031,5,2,2.5,4,
Al Naimat Restaurant & Sweets,11372,3,2,1.5,4,
Malai Marke Indian Cuisine,10003,5,2,2.5,4,
Paratha Wala,11375,6.95,2,3.47,4.5,
Atithi Indian Cuisine,11249,6,2,3,5,
Dhaba Indian Cuisine,10016,5.5,2,2.75,3.5,
Kathiyawadi Kitchen,8872,3.99,4,0.99,4,
Patiala Indian Grill,10001,5.95,2,2.97,4.5,
Masala Grill,11217,3.95,2,1.97,3.5,
Benares,10007,9,2,4.5,4,
Raja Sweets & Fast Food,11372,2.99,2,1.49,4,
Nanking,11420,6.99,2,3.49,4,
Tamarind,10013,14.41,2,7.2,4,
India at Time Square,10036,7.95,2,3.97,4.5,
Dhania Fine Indian Cuisine,11216,5.5,2,2.75,4.5,
Mint Masala,10012,4.95,2,2.47,4,
Desi Deli Indian Restaurant,10019,3.99,2,1.99,3.5,
Mint Heights - Fort Greene,11205,5,2,2.5,4.5,
Spice & Grill,11205,4.95,2,2.47,4,
Angel Indian Restaurant,11372,5,2,2.5,4.5,
Curry In Handi,11206,4.95,2,2.47,4.5,
Dhabewala,6905,6,4,1.5,4.5,
Premium Sweets & Restaurant,10462,3,2,1.5,4.5,
Sathi,10003,4.95,2,2.47,4.5,
Mughlai Grill,10002,5,2,2.5,4.5,
Mint Heights - Brooklyn Heights,11201,5,2,2.5,4.5,
Moti Mahal Delux,10065,6.95,2,3.4,4,
Namaste,11217,6,3,2,4.5,
Masala Times Greenwich Village,10012,3,2,1.5,4,
Paisley,10013,13,2,6.5,4.5,
Kitchen Grill Indian Restaurant,11238,2.95,2,1.47,4.5,
Tribhaanga,10019,5,2,2.5,5,
Sahib,10016,5,2,2.5,4,
